HARJU HOR 62.8,0.4
J JUPITER
S SATURNUS
alamak gamma1and
andromeda m31
dumbbel m27
epsilonlyr epsilon1ly
herkules  m13
hevosenpääsumu ic434
hjax ngc869
hjaxper ngc869
hper ngc869
khiper ngc884
lyyra m57
lyyranrengassumu m57
nostopainosumu m27
nostopaino m27
omegasumu m17
orion m42
plejadit  m45
praesepe m44
pöllösumu m97
rosette ngc2244
rrlyr 1923.9+4241 (1950.0)
saturnussumu ngc7009
seulaset  m45
sirrah alfaand
sombrero m104
äyräissumu m1
harju hor 62.8,0.4
vesitorni hor 62.8,0.4
etelä hor 180,0
pohjoinen hor 0,0
itä hor 90,0
länsi hor 270,0
